aggregator,attack,round,num_honest,num_attackers,dim,byzantine_fraction,seed,distance_from_true_value,asr
geometric_median,scaling,0,8,1,3,0.2222,1,0.11579023,0.00013508376
geometric_median,scaling,0,8,2,3,0.3,1,0.1565089,0.00018258716
geometric_median,scaling,0,8,3,3,0.3636,1,0.32096344,0.0003744439
geometric_median,scaling,0,8,4,3,0.4167,1,1.7565818,0.002049272
geometric_median,alie,0,8,1,3,0.2222,1,0.091309875,1.0000004
geometric_median,alie,0,8,2,3,0.3,1,0.09130986,1.0000002
geometric_median,alie,0,8,3,3,0.3636,1,0.13664493,0.9675443
geometric_median,alie,0,8,4,3,0.4167,1,0.14052461,0.99501526
median_of_means,gaussian,0,8,1,3,0.2222,1,0.14821239,0.0016461635
median_of_means,gaussian,0,8,2,3,0.3,1,0.15523496,0.003054733
median_of_means,gaussian,0,8,3,3,0.3636,1,0.21550106,0.0065276856
median_of_means,gaussian,0,8,4,3,0.4167,1,0.056637473,0.0035421848
median_of_means,sign_flipping,0,8,1,3,0.2222,1,0.11856488,0.011144461
median_of_means,sign_flipping,0,8,2,3,0.3,1,0.11856488,0.011144461
median_of_means,sign_flipping,0,8,3,3,0.3636,1,0.22251968,0.020915654
median_of_means,sign_flipping,0,8,4,3,0.4167,1,0.22251968,0.020915654
median_of_means,scaling,0,8,1,3,0.2222,1,0.18002899,0.0002100263
median_of_means,scaling,0,8,2,3,0.3,1,0.18002899,0.0002100263
median_of_means,scaling,0,8,3,3,0.3636,1,0.30028874,0.00035032426
median_of_means,scaling,0,8,4,3,0.4167,1,0.30028874,0.0003503243
median_of_means,alie,0,8,1,3,0.2222,1,0.100650705,1.1022986
median_of_means,alie,0,8,2,3,0.3,1,0.100650705,1.1022986
median_of_means,alie,0,8,3,3,0.3636,1,0.12297025,0.87071776
median_of_means,alie,0,8,4,3,0.4167,1,0.12297025,0.87071776
divide_and_conquer,gaussian,0,8,1,3,0.2222,1,0.09130984,0.001014159
divide_and_conquer,gaussian,0,8,2,3,0.3,1,0.10792446,0.002123751
divide_and_conquer,gaussian,0,8,3,3,0.3636,1,0.09130984,0.0027658422
divide_and_conquer,gaussian,0,8,4,3,0.4167,1,0.13885505,0.008684184
divide_and_conquer,sign_flipping,0,8,1,3,0.2222,1,0.09130984,0.008582634
divide_and_conquer,sign_flipping,0,8,2,3,0.3,1,0.10792446,0.010144319
divide_and_conquer,sign_flipping,0,8,3,3,0.3636,1,0.09130984,0.008582634
divide_and_conquer,sign_flipping,0,8,4,3,0.4167,1,0.10792446,0.010144319
divide_and_conquer,scaling,0,8,1,3,0.2222,1,0.09130984,0.00010652433
divide_and_conquer,scaling,0,8,2,3,0.3,1,0.13468719,0.00015712941
divide_and_conquer,scaling,0,8,3,3,0.3636,1,0.09130984,0.00010652432
divide_and_conquer,scaling,0,8,4,3,0.4167,1,0.13468719,0.00015712941
divide_and_conquer,alie,0,8,1,3,0.2222,1,0.042656265,0.46715957
divide_and_conquer,alie,0,8,2,3,0.3,1,0.060581237,0.6634689
divide_and_conquer,alie,0,8,3,3,0.3636,1,0.06972855,0.49372828
divide_and_conquer,alie,0,8,4,3,0.4167,1,0.030479722,0.21581833
foolsgold,gaussian,0,8,1,3,0.2222,1,9.004531,0.100011416
foolsgold,gaussian,0,8,2,3,0.3,1,11.0076,0.21660891
foolsgold,gaussian,0,8,3,3,0.3636,1,9.723865,0.29454303
foolsgold,gaussian,0,8,4,3,0.4167,1,9.098546,0.5690355
foolsgold,sign_flipping,0,8,1,3,0.2222,1,2.721255,0.25578335
foolsgold,sign_flipping,0,8,2,3,0.3,1,1.5534024,0.14601147
foolsgold,sign_flipping,0,8,3,3,0.3636,1,1.5695155,0.14752601
foolsgold,sign_flipping,0,8,4,3,0.4167,1,1.5829643,0.14879014
foolsgold,scaling,0,8,1,3,0.2222,1,1.5337479,0.0017893084
foolsgold,scaling,0,8,2,3,0.3,1,1.5534024,0.0018122379
foolsgold,scaling,0,8,3,3,0.3636,1,1.5695155,0.0018310356
foolsgold,scaling,0,8,4,3,0.4167,1,1.5829643,0.0018467255
foolsgold,alie,0,8,1,3,0.2222,1,1.5337479,16.797182
foolsgold,alie,0,8,2,3,0.3,1,1.5534024,17.012432
foolsgold,alie,0,8,3,3,0.3636,1,1.5695155,11.113297
foolsgold,alie,0,8,4,3,0.4167,1,1.5829643,11.208525
