aggregator,shift,seed,client_group,client_index,leave_one_out_influence
fedavg,0.5,18,majority,4,0.030392153
fedavg,0.5,18,majority,5,0.01771568
fedavg,0.5,18,minority,0,0.03889297
fedavg,0.5,18,minority,1,0.060744848
fedavg,0.5,19,majority,0,0.10588878
fedavg,0.5,19,majority,1,0.057367068
fedavg,0.5,19,majority,2,0.022120189
fedavg,0.5,19,majority,3,0.08729789
fedavg,0.5,19,majority,4,0.039194398
fedavg,0.5,19,majority,5,0.08566219
fedavg,0.5,19,minority,0,0.094606586
fedavg,0.5,19,minority,1,0.11784128
fedavg,0.5,20,majority,0,0.08285076
fedavg,0.5,20,majority,1,0.052550603
fedavg,0.5,20,majority,2,0.076925956
fedavg,0.5,20,majority,3,0.04913513
fedavg,0.5,20,majority,4,0.056390624
fedavg,0.5,20,majority,5,0.02927298
fedavg,0.5,20,minority,0,0.13607422
fedavg,0.5,20,minority,1,0.04170458
fedavg,1.0,1,majority,0,0.04153836
fedavg,1.0,1,majority,1,0.114816345
fedavg,1.0,1,majority,2,0.041637916
fedavg,1.0,1,majority,3,0.06607955
fedavg,1.0,1,majority,4,0.080362305
fedavg,1.0,1,majority,5,0.08903386
fedavg,1.0,1,minority,0,0.16086365
fedavg,1.0,1,minority,1,0.12691036
fedavg,1.0,2,majority,0,0.12241995
fedavg,1.0,2,majority,1,0.059566658
fedavg,1.0,2,majority,2,0.056961797
fedavg,1.0,2,majority,3,0.07878056
fedavg,1.0,2,majority,4,0.036874957
fedavg,1.0,2,majority,5,0.052685153
fedavg,1.0,2,minority,0,0.13127401
fedavg,1.0,2,minority,1,0.15365979
fedavg,1.0,3,majority,0,0.08868725
fedavg,1.0,3,majority,1,0.0694704
fedavg,1.0,3,majority,2,0.07767348
fedavg,1.0,3,majority,3,0.017105578
fedavg,1.0,3,majority,4,0.074055426
fedavg,1.0,3,majority,5,0.06620818
fedavg,1.0,3,minority,0,0.12527019
fedavg,1.0,3,minority,1,0.17559864
fedavg,1.0,4,majority,0,0.062764935
fedavg,1.0,4,majority,1,0.081780985
fedavg,1.0,4,majority,2,0.09572506
fedavg,1.0,4,majority,3,0.102579
fedavg,1.0,4,majority,4,0.047015727
fedavg,1.0,4,majority,5,0.14388761
fedavg,1.0,4,minority,0,0.11291995
fedavg,1.0,4,minority,1,0.11337616
fedavg,1.0,5,majority,0,0.068739496
fedavg,1.0,5,majority,1,0.08674679
fedavg,1.0,5,majority,2,0.056734554
fedavg,1.0,5,majority,3,0.050039142
fedavg,1.0,5,majority,4,0.056566723
fedavg,1.0,5,majority,5,0.07878652
fedavg,1.0,5,minority,0,0.07959227
fedavg,1.0,5,minority,1,0.13360575
fedavg,1.0,6,majority,0,0.11637326
fedavg,1.0,6,majority,1,0.05465272
fedavg,1.0,6,majority,2,0.092030905
fedavg,1.0,6,majority,3,0.13174342
fedavg,1.0,6,majority,4,0.014076062
fedavg,1.0,6,majority,5,0.07056341
fedavg,1.0,6,minority,0,0.18440975
fedavg,1.0,6,minority,1,0.123201914
fedavg,1.0,7,majority,0,0.07829843
fedavg,1.0,7,majority,1,0.05133476
fedavg,1.0,7,majority,2,0.0682895
fedavg,1.0,7,majority,3,0.12056071
fedavg,1.0,7,majority,4,0.06945036
fedavg,1.0,7,majority,5,0.044500694
fedavg,1.0,7,minority,0,0.118086584
fedavg,1.0,7,minority,1,0.124895714
fedavg,1.0,8,majority,0,0.06700043
fedavg,1.0,8,majority,1,0.058591742
fedavg,1.0,8,majority,2,0.09750616
fedavg,1.0,8,majority,3,0.090916134
fedavg,1.0,8,majority,4,0.13961363
fedavg,1.0,8,majority,5,0.11136299
fedavg,1.0,8,minority,0,0.16011308
fedavg,1.0,8,minority,1,0.17449115
fedavg,1.0,9,majority,0,0.056591403
fedavg,1.0,9,majority,1,0.029136384
fedavg,1.0,9,majority,2,0.08912434
fedavg,1.0,9,majority,3,0.11248509
fedavg,1.0,9,majority,4,0.01735372
fedavg,1.0,9,majority,5,0.0964401
fedavg,1.0,9,minority,0,0.09467224
fedavg,1.0,9,minority,1,0.1288079
fedavg,1.0,10,majority,0,0.057945676
fedavg,1.0,10,majority,1,0.11157984
fedavg,1.0,10,majority,2,0.12312926
fedavg,1.0,10,majority,3,0.08471193
fedavg,1.0,10,majority,4,0.080388784
fedavg,1.0,10,majority,5,0.079259515
fedavg,1.0,10,minority,0,0.11101117
fedavg,1.0,10,minority,1,0.1584667
fedavg,1.0,11,majority,0,0.09869227
fedavg,1.0,11,majority,1,0.09328355
fedavg,1.0,11,majority,2,0.07233202
fedavg,1.0,11,majority,3,0.09375803
fedavg,1.0,11,majority,4,0.086959116
fedavg,1.0,11,majority,5,0.037942167
fedavg,1.0,11,minority,0,0.15385978
fedavg,1.0,11,minority,1,0.12537844
fedavg,1.0,12,majority,0,0.086836986
fedavg,1.0,12,majority,1,0.10688556
fedavg,1.0,12,majority,2,0.037976593
fedavg,1.0,12,majority,3,0.06677995
fedavg,1.0,12,majority,4,0.11885293
fedavg,1.0,12,majority,5,0.06442942
fedavg,1.0,12,minority,0,0.060739167
fedavg,1.0,12,minority,1,0.06422207
fedavg,1.0,13,majority,0,0.05143368
fedavg,1.0,13,majority,1,0.025305329
fedavg,1.0,13,majority,2,0.05832387
fedavg,1.0,13,majority,3,0.07001264
fedavg,1.0,13,majority,4,0.095276035
fedavg,1.0,13,majority,5,0.08849418
fedavg,1.0,13,minority,0,0.13962321
fedavg,1.0,13,minority,1,0.08796533
fedavg,1.0,14,majority,0,0.038335044
fedavg,1.0,14,majority,1,0.12817453
fedavg,1.0,14,majority,2,0.05911272
fedavg,1.0,14,majority,3,0.087660484
fedavg,1.0,14,majority,4,0.0692303
fedavg,1.0,14,majority,5,0.062449653
fedavg,1.0,14,minority,0,0.15466538
fedavg,1.0,14,minority,1,0.15405305
fedavg,1.0,15,majority,0,0.05955179
fedavg,1.0,15,majority,1,0.019558344
fedavg,1.0,15,majority,2,0.12726742
fedavg,1.0,15,majority,3,0.15059467
fedavg,1.0,15,majority,4,0.086690344
fedavg,1.0,15,majority,5,0.06020441
fedavg,1.0,15,minority,0,0.10407932
fedavg,1.0,15,minority,1,0.18656754
fedavg,1.0,16,majority,0,0.101866215
fedavg,1.0,16,majority,1,0.0999079
fedavg,1.0,16,majority,2,0.08352912
fedavg,1.0,16,majority,3,0.06381864
fedavg,1.0,16,majority,4,0.1489192
fedavg,1.0,16,majority,5,0.05476715
fedavg,1.0,16,minority,0,0.16729543
fedavg,1.0,16,minority,1,0.15339331
fedavg,1.0,17,majority,0,0.0335819
fedavg,1.0,17,majority,1,0.0935754
fedavg,1.0,17,majority,2,0.10244011
fedavg,1.0,17,majority,3,0.10867926
fedavg,1.0,17,majority,4,0.066244505
fedavg,1.0,17,majority,5,0.07397142
fedavg,1.0,17,minority,0,0.12276683
fedavg,1.0,17,minority,1,0.08227269
fedavg,1.0,18,majority,0,0.0423405
fedavg,1.0,18,majority,1,0.07061408
fedavg,1.0,18,majority,2,0.10410804
fedavg,1.0,18,majority,3,0.061665706
fedavg,1.0,18,majority,4,0.044130683
fedavg,1.0,18,majority,5,0.028752783
fedavg,1.0,18,minority,0,0.09042168
fedavg,1.0,18,minority,1,0.097742945
fedavg,1.0,19,majority,0,0.113086164
fedavg,1.0,19,majority,1,0.06525128
fedavg,1.0,19,majority,2,0.020672753
fedavg,1.0,19,majority,3,0.094700456
fedavg,1.0,19,majority,4,0.05446005
fedavg,1.0,19,majority,5,0.10100454
fedavg,1.0,19,minority,0,0.14082815
fedavg,1.0,19,minority,1,0.16543731
fedavg,1.0,20,majority,0,0.087957814
fedavg,1.0,20,majority,1,0.0584989
fedavg,1.0,20,majority,2,0.09185545
fedavg,1.0,20,majority,3,0.06620479
fedavg,1.0,20,majority,4,0.06501931
fedavg,1.0,20,majority,5,0.04111813
fedavg,1.0,20,minority,0,0.18783955
fedavg,1.0,20,minority,1,0.09316909
fedavg,1.5,1,majority,0,0.02710204
fedavg,1.5,1,majority,1,0.12520693
fedavg,1.5,1,majority,2,0.059360623
fedavg,1.5,1,majority,3,0.07856168
fedavg,1.5,1,majority,4,0.084799215
fedavg,1.5,1,majority,5,0.1063056
fedavg,1.5,1,minority,0,0.21196377
fedavg,1.5,1,minority,1,0.15706748
fedavg,1.5,2,majority,0,0.13532276
fedavg,1.5,2,majority,1,0.07346831
fedavg,1.5,2,majority,2,0.055115562
fedavg,1.5,2,majority,3,0.09633833
fedavg,1.5,2,majority,4,0.053194597
fedavg,1.5,2,majority,5,0.05567297
fedavg,1.5,2,minority,0,0.18179613
fedavg,1.5,2,minority,1,0.19314109
fedavg,1.5,3,majority,0,0.10544751
fedavg,1.5,3,majority,1,0.08634348
fedavg,1.5,3,majority,2,0.09486228
fedavg,1.5,3,majority,3,0.031936377
fedavg,1.5,3,majority,4,0.076333314
fedavg,1.5,3,majority,5,0.08125586
fedavg,1.5,3,minority,0,0.17632383
fedavg,1.5,3,minority,1,0.22770472
fedavg,1.5,4,majority,0,0.07849738
fedavg,1.5,4,majority,1,0.09225918
fedavg,1.5,4,majority,2,0.11274661
fedavg,1.5,4,majority,3,0.11418383
fedavg,1.5,4,majority,4,0.06241933
fedavg,1.5,4,majority,5,0.13495353
fedavg,1.5,4,minority,0,0.16416016
fedavg,1.5,4,minority,1,0.16300333
fedavg,1.5,5,majority,0,0.08324146
fedavg,1.5,5,majority,1,0.09620651
fedavg,1.5,5,majority,2,0.06812448
fedavg,1.5,5,majority,3,0.050811753
fedavg,1.5,5,majority,4,0.05355623
fedavg,1.5,5,majority,5,0.09382973
fedavg,1.5,5,minority,0,0.12378453
fedavg,1.5,5,minority,1,0.17878099
fedavg,1.5,6,majority,0,0.12938896
fedavg,1.5,6,majority,1,0.059323374
fedavg,1.5,6,majority,2,0.10222408
fedavg,1.5,6,majority,3,0.1453669
fedavg,1.5,6,majority,4,0.020883854
fedavg,1.5,6,majority,5,0.088390805
fedavg,1.5,6,minority,0,0.23625045
fedavg,1.5,6,minority,1,0.17619728
fedavg,1.5,7,majority,0,0.095031515
fedavg,1.5,7,majority,1,0.061321247
fedavg,1.5,7,majority,2,0.083149776
fedavg,1.5,7,majority,3,0.12119412
fedavg,1.5,7,majority,4,0.085269436
fedavg,1.5,7,majority,5,0.049350675
fedavg,1.5,7,minority,0,0.17084281
fedavg,1.5,7,minority,1,0.16837794
fedavg,1.5,8,majority,0,0.07949973
fedavg,1.5,8,majority,1,0.071835995
fedavg,1.5,8,majority,2,0.10605544
fedavg,1.5,8,majority,3,0.098430395
fedavg,1.5,8,majority,4,0.15220904
fedavg,1.5,8,majority,5,0.12344491
fedavg,1.5,8,minority,0,0.2095059
fedavg,1.5,8,minority,1,0.22780128
fedavg,1.5,9,majority,0,0.0696477
fedavg,1.5,9,majority,1,0.046266705
fedavg,1.5,9,majority,2,0.085041754
fedavg,1.5,9,majority,3,0.12942283
fedavg,1.5,9,majority,4,0.03061287
fedavg,1.5,9,majority,5,0.102091275
fedavg,1.5,9,minority,0,0.13704379
fedavg,1.5,9,minority,1,0.17614056
fedavg,1.5,10,majority,0,0.07086912
fedavg,1.5,10,majority,1,0.12927102
fedavg,1.5,10,majority,2,0.13592632
fedavg,1.5,10,majority,3,0.09755482
fedavg,1.5,10,majority,4,0.09251766
fedavg,1.5,10,majority,5,0.06343782
fedavg,1.5,10,minority,0,0.16381788
fedavg,1.5,10,minority,1,0.21180697
fedavg,1.5,11,majority,0,0.114956215
fedavg,1.5,11,majority,1,0.11082879
fedavg,1.5,11,majority,2,0.07233961
fedavg,1.5,11,majority,3,0.09846793
fedavg,1.5,11,majority,4,0.10164322
fedavg,1.5,11,majority,5,0.040000416
fedavg,1.5,11,minority,0,0.20364249
fedavg,1.5,11,minority,1,0.17492631
fedavg,1.5,12,majority,0,0.0957811
fedavg,1.5,12,majority,1,0.09550735
fedavg,1.5,12,majority,2,0.040838886
fedavg,1.5,12,majority,3,0.07811222
fedavg,1.5,12,majority,4,0.13475333
fedavg,1.5,12,majority,5,0.06952273
fedavg,1.5,12,minority,0,0.10900738
fedavg,1.5,12,minority,1,0.11691518
fedavg,1.5,13,majority,0,0.061357852
