aggregator,attack,round,num_honest,num_attackers,dim,byzantine_fraction,clip_radius,seed,distance_from_true_value,asr
dss_fedavg,persistent_sybil,1,9,1,3,0.2,1.0,1001,8.579553,0.10108994
dss_fedavg,persistent_sybil,2,9,1,3,0.2,1.0,1001,8.466865,0.09976217
dss_fedavg,persistent_sybil,3,9,1,3,0.2,1.0,1001,8.5256405,0.10045471
dss_fedavg,persistent_sybil,4,9,1,3,0.2,1.0,1001,8.348329,0.0983655
dss_fedavg,persistent_sybil,5,9,1,3,0.2,1.0,1001,8.554733,0.1007975
dss_fedavg,persistent_sybil,6,9,1,3,0.2,1.0,1001,8.477101,0.09988279
dss_fedavg,persistent_sybil,7,9,1,3,0.2,1.0,1001,8.358356,0.09848366
dss_fedavg,persistent_sybil,8,9,1,3,0.2,1.0,1001,8.639767,0.10179942
dss_fedavg,persistent_sybil,9,9,1,3,0.2,1.0,1001,8.614669,0.1015037
dss_fedavg,persistent_sybil,10,9,1,3,0.2,1.0,1001,8.446147,0.09951806
dss_fedavg,persistent_sybil,11,9,1,3,0.2,1.0,1001,8.556397,0.10081711
dss_fedavg,persistent_sybil,12,9,1,3,0.2,1.0,1001,8.545279,0.100686096
dss_fedavg,persistent_sybil,13,9,1,3,0.2,1.0,1001,8.663114,0.10207451
dss_fedavg,persistent_sybil,14,9,1,3,0.2,1.0,1001,8.55692,0.10082327
dss_fedavg,persistent_sybil,15,9,1,3,0.2,1.0,1001,8.42111,0.09922306
dss_fedavg,persistent_sybil,16,9,1,3,0.2,1.0,1001,8.337696,0.09824023
dss_fedavg,persistent_sybil,17,9,1,3,0.2,1.0,1001,8.490872,0.10004505
dss_fedavg,persistent_sybil,18,9,1,3,0.2,1.0,1001,8.532376,0.100534074
dss_fedavg,persistent_sybil,19,9,1,3,0.2,1.0,1001,8.487959,0.10001072
dss_fedavg,persistent_sybil,0,9,1,3,0.2,1.0,2001,8.529858,0.1005044
dss_fedavg,persistent_sybil,1,9,1,3,0.2,1.0,2001,8.315652,0.097980484
dss_fedavg,persistent_sybil,2,9,1,3,0.2,1.0,2001,8.318751,0.09801701
dss_fedavg,persistent_sybil,3,9,1,3,0.2,1.0,2001,8.3974495,0.09894428
dss_fedavg,persistent_sybil,4,9,1,3,0.2,1.0,2001,8.6325245,0.10171409
dss_fedavg,persistent_sybil,5,9,1,3,0.2,1.0,2001,8.428716,0.09931268
dss_fedavg,persistent_sybil,6,9,1,3,0.2,1.0,2001,8.460149,0.09968305
